time,x,y,z
1.60545E+12,2.473,2.366,8.979
1.60545E+12,2.492,2.366,8.96
1.60545E+12,2.454,2.366,9.055
1.60545E+12,2.454,2.366,9.036
1.60545E+12,2.473,2.347,9.036
1.60545E+12,2.473,2.366,9.075
1.60545E+12,2.511,2.385,9.075
1.60545E+12,2.473,2.366,9.075
1.60545E+12,2.492,2.385,8.998
1.60545E+12,2.435,2.328,8.998
1.60545E+12,2.416,2.347,8.998
1.60545E+12,2.416,2.366,9.017
1.60545E+12,2.416,2.347,9.017
1.60545E+12,2.416,2.347,9.017
1.60545E+12,2.396,2.347,8.998
